"filename", "language", "Make", "YAML", "docker", "Ignore", "JSON", "JavaScript", "html", "css", "SVG", "Properties", "comment", "blank", "total"
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/Makefile", "Make", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/adaptor.yaml", "YAML", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 116
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/package.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/public/index.html", "html", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/src/Orders.jsx", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/src/index.css", "css", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/bryan/git/codification/event-sourcing/ui/ifs-ui/src/logo.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"Total", "-", 177, 1000, 39, 4, 108, 271, 40, 12, 1, 18, 20, 156, 1846
